1683700772145|116|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|alter table card_context add column createTime datetime(6)|alter table card_context add column createTime datetime(6)
1683701000300|32|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683701000352|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683701003264|30|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683701003296|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683701004649|30|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683701004680|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683701005559|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683701005590|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683701006305|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683701006335|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683701007031|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683701007063|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683701043753|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683701043784|29|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683701150441|33|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683701150492|30|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683701151751|30|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683701151784|30|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683701152892|30|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type=? order by cardinfo0_.createTime asc|select cardinfo0_.id as id1_1_, cardinfo0_.color as color2_1_, cardinfo0_.createTime as createti3_1_, cardinfo0_.description as descript4_1_, cardinfo0_.imageUrl as imageurl5_1_, cardinfo0_.title as title6_1_, cardinfo0_.type as type7_1_ from card_info cardinfo0_ where cardinfo0_.type='WRITING' order by cardinfo0_.createTime asc
1683701152924|30|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=? order by cardcontex0_.orderIndex asc|select cardcontex0_.id as id1_0_, cardcontex0_.content as content2_0_, cardcontex0_.createTime as createti3_0_, cardcontex0_.orderIndex as orderind4_0_, cardcontex0_.pid as pid5_0_, cardcontex0_.role as role6_0_ from card_context cardcontex0_ where cardcontex0_.pid=1 order by cardcontex0_.orderIndex asc
1683701238232|106|statement|connection 0|url jdbc:p6spy:mysql://120.48.73.246:3306/mocard?characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=false&allowMultiQueries=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=Asia/Shanghai|alter table card_info add column createTime datetime(6)|alter table card_info add column createTime datetime(6)
